Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-09-28,27.746,27.946,27.096,27.287,1588059
2015-09-29,26.991,27.603,26.667,27.364,2398098
2015-09-30,27.707,28.272,27.249,28.119,2591317
2015-10-01,28.28,28.28,27.478,27.956,2959464
2015-10-02,27.985,28.033,27.526,27.784,3521278
2015-10-05,27.851,28.931,27.841,28.568,3246914
2015-10-06,28.568,29.102,28.472,28.701,2848778
2015-10-07,28.892,29.37,28.816,29.236,3027326
2015-10-08,29.217,30.144,29.102,29.905,5396105
2015-10-09,29.914,30.163,29.867,29.905,4548269
2015-10-12,29.886,29.953,29.514,29.714,2125292
2015-10-13,29.667,29.819,29.065,29.599,1951391
2015-10-14,29.304,30.03,29.084,29.667,2421455
2015-10-15,29.762,29.972,29.332,29.37,2251526
2015-10-16,29.551,29.762,28.663,28.816,2906191
2015-10-19,28.701,29.198,28.3,28.568,2747784
2015-10-20,28.357,28.94,28.357,28.806,3781959
2015-10-21,28.94,29.571,28.701,29.428,3651407
2015-10-22,29.408,29.704,28.806,28.949,3563297
2015-10-23,28.959,29.475,28.453,28.759,3842627
2015-10-26,28.176,28.596,27.679,28.156,7452677
2015-10-27,28.052,28.644,27.707,28.568,5685652
2015-10-28,28.433,28.549,28.023,28.319,2200863
2015-10-29,27.822,28.433,27.612,27.756,4731921
2015-10-30,27.774,27.774,26.867,27.364,4029384
2015-11-02,27.383,27.765,27.154,27.698,1511968
2015-11-03,27.822,27.88,27.22,27.249,2553841
2015-11-04,27.23,27.593,26.877,27.173,3705332
2015-11-05,26.914,27.201,26.914,27.001,1336333
2015-11-06,26.953,27.258,26.609,27.087,2627117
2015-11-09,27.134,27.23,26.179,26.37,2922273
2015-11-10,26.37,26.638,25.892,26.418,3248484
2015-11-12,26.304,26.781,26.084,26.667,2398163
2015-11-13,26.447,26.733,26.159,26.198,1968175
2015-11-16,26.084,26.227,25.72,25.988,2334201
2015-11-17,25.902,26.561,25.902,26.341,1802715
2015-11-18,26.227,26.924,26.131,26.924,2349550
2015-11-19,27.124,27.144,26.571,26.571,1237096
2015-11-20,26.647,26.981,26.561,26.638,876610
2015-11-23,26.542,26.542,25.596,26.322,2178784
2015-11-24,26.341,26.351,25.472,25.472,1763630
2015-11-25,25.482,26.026,25.462,25.729,1877085
2015-11-26,25.72,25.94,25.29,25.796,1420861
2015-11-27,25.692,26.026,25.376,25.386,1601844
2015-11-30,25.357,25.921,25.243,25.749,5159079
2015-12-01,25.72,26.055,25.663,25.988,2489325
2015-12-02,25.921,26.112,24.85,25.042,3803931
2015-12-03,25.109,25.51,24.383,24.383,4441371
2015-12-04,24.23,24.669,23.447,24.669,7669758
2015-12-07,24.669,25.338,24.334,25.032,5497624
2015-12-08,24.994,25.376,24.373,24.784,4702712
2015-12-09,24.88,24.917,23.667,23.991,5100422
2015-12-10,24.268,25.023,24.087,24.621,4766858
2015-12-11,25.08,25.252,23.905,24.287,4021587
2015-12-14,24.316,24.669,23.886,24.258,2668025
2015-12-15,24.383,24.774,24.287,24.669,2090480
2015-12-16,24.669,25.309,24.402,25.109,2943555
2015-12-17,25.128,26.418,25.128,25.796,3136438
2015-12-18,25.529,26.275,25.529,26.093,5564020
2015-12-21,25.902,26.37,25.864,26.217,1358274
2015-12-22,26.093,26.245,25.806,26.217,1681352
2015-12-23,26.208,26.208,25.892,25.949,863231
2015-12-28,25.949,26.169,25.825,26.169,971231
2015-12-29,26.159,26.561,26.112,26.408,1597255
2015-12-30,26.275,26.542,25.864,26.112,1115226
2016-01-04,25.415,25.5,24.841,25.338,2338964
2016-01-05,25.51,25.51,24.66,25.003,1682414
2016-01-07,24.124,24.774,24.02,24.546,2860970
2016-01-08,24.554,24.64,23.79,23.934,4828305
2016-01-11,23.886,23.981,22.778,22.835,4496422
2016-01-12,23.035,23.724,22.978,23.695,2989614
2016-01-13,23.733,23.953,23.514,23.857,4056515
2016-01-14,23.58,23.886,23.169,23.886,4377983
2016-01-15,23.685,23.877,22.816,22.892,4542460
2016-01-18,22.453,22.576,21.497,21.621,4769089
2016-01-19,21.975,22.386,21.507,21.507,3321494
2016-01-20,21.487,22.195,20.953,21.803,4179425
2016-01-21,22.042,22.309,21.554,22.07,3183210
2016-01-22,22.357,23.026,22.09,22.825,2370776
2016-01-25,22.864,22.988,22.195,22.338,1824781
2016-01-26,22.013,22.519,21.841,22.07,2009361
2016-01-27,21.879,22.491,21.803,22.453,1885314
2016-01-28,22.482,23.455,22.453,23.159,4248713
2016-01-29,23.408,23.551,22.959,23.551,4027506
2016-02-01,23.58,23.733,23.179,23.733,1621280
2016-02-02,23.667,23.667,22.319,22.319,3364444
