Date;Close
2019-05-15;1368
2019-05-16;1378
2019-05-17;1405
2019-05-20;1423
2019-05-21;1417
2019-05-22;1397
2019-05-23;1378
2019-05-24;1375
2019-05-27;1383
2019-05-28;1349
2019-05-29;1318
2019-05-30;1293
2019-05-31;1288
2019-06-03;1262
2019-06-04;1240
2019-06-05;1246
2019-06-06;1257
2019-06-07;1280
2019-06-10;1310
2019-06-11;1322
2019-06-12;1320
2019-06-13;1294
2019-06-14;1301
2019-06-17;1295
2019-06-18;1276
2019-06-19;1297
2019-06-20;1318
2019-06-21;1295
2019-06-24;1316
2019-06-25;1309
2019-06-26;1287
2019-06-27;1308
2019-06-28;1309
2019-07-01;1346
2019-07-02;1333
2019-07-03;1327
2019-07-04;1351
2019-07-05;1362
2019-07-08;1348
2019-07-09;1355
2019-07-10;1349
2019-07-11;1373
2019-07-12;1365
2019-07-16;1328
2019-07-17;1315
2019-07-18;1292
2019-07-19;1310
2019-07-22;1292
2019-07-23;1288
2019-07-24;1294
2019-07-25;1290
2019-07-26;1292
2019-07-29;1300
2019-07-30;1365
2019-07-31;1404
2019-08-01;1378
2019-08-02;1351
2019-08-05;1334
2019-08-06;1345
2019-08-07;1350
2019-08-08;1341
2019-08-09;1336
2019-08-13;1307
2019-08-14;1306
2019-08-15;1283
2019-08-16;1285
2019-08-19;1329
2019-08-20;1361
2019-08-21;1353
2019-08-22;1358
2019-08-23;1381
2019-08-26;1369
2019-08-27;1459
2019-08-28;1470
2019-08-29;1449
2019-08-30;1456
2019-09-02;1449
2019-09-03;1472
2019-09-04;1469
2019-09-05;1482
2019-09-06;1489
2019-09-09;1494
2019-09-10;1491
2019-09-11;1480
2019-09-12;1498
2019-09-13;1522
2019-09-17;1532
2019-09-18;1537
2019-09-19;1545
2019-09-20;1527
2019-09-24;1543
2019-09-25;1531
2019-09-26;1560
2019-09-27;1537
2019-09-30;1512
2019-10-01;1551
2019-10-02;1555
2019-10-03;1541
2019-10-04;1545
2019-10-07;1547
2019-10-08;1573
2019-10-09;1583
2019-10-10;1562
2019-10-11;1547
2019-10-15;1564
2019-10-16;1565
2019-10-17;1583
2019-10-18;1549
